ISIN,Ticker
CA42249X1006,AIDX.TO
CNE100000296,1211.HK
US29786A1060,ETSY
US64110L1061,NFLX
IE000XZSV718,SPYL.L
US67066G1040,NVDA
US88160R1014,TSLA
US8334451098,SNOW
US8740391003,TSM
NL00150002Q7,VVY.AS
XF000DOT0011,
DE000CBK1001,CBK.DE
KYG9830T1067,1810.HK
CA02377G2045,WIFI.CN
CA60255C8850,MNMD
US5949181045,MSFT
CA92707Y1088,VFF
CA1380357048,WEED.TO
DE0005140008,DBK.DE
CA22717L1013,CRON.TO
IE00B4L5Y983,IWDA.L
KYG982AW1003,9868.HK
IE00BM67HT60,XDWT.L
DE0007030009,RHM.DE
US70450Y1038,PYPL
DE0008404005,ALV.DE
US83444M1018,SOLV
US1331311027,CPT
DK0010244508,MAERSK-B.CO
US5184391044,EL
DE000SU47L30,
US12541W2098,CHRW
US88579Y1010,MMM
US29476L1070,EQR
KYG9828G1082,0868.HK
DE000WACK012,WAC.DE
DE000A161408,HFG.F
US0921131092,BKH
MHY1771G1026,CMRE
GB00B1VNSX38,DRX.L
MHY1968P1218,DAC
ES0125220311,ANA.MC
IT0003492391,DIA.MI
HK0144000764,0144.HK
NL00150001Q9,STLAM.MI
US98980F1049,ZI
US29414B1044,EPAM
US81211K1007,SEE
US1266501006,CVS
FR0000053381,DBG.PA
GB00BJDQQ870,WOSG.L
CA67077M1086,NTR.TO
US0905722072,BIO
US00760J1088,AEHR
US1101221083,BMY
US98980L1017,ZM
IL0011595993,INMD
IL0011582033,FVRR
SE0000163628,EKTA-B.ST
US57060D1081,MKTX
US5500211090,LULU
US29355A1079,ENPH
US9224751084,VEEV
LU0974299876,GLOB
US45784P1012,PODD
US98138H1014,WDAY
US06417N1037,OZK
IE00BK5BQT80,VWRA.L
IE00B6R52259,ISAC.L
XF000XRP0018,
US71948P2092,PHUN
DE000A0JL9W6,VBK.DE
FR001400PDG8,ALEUP.PA
IE00BGV5VN51,XAIX.SW
XF000BTC0017,
LU1681048804,500.PA
XF000ETH0019,
US81141R1005,SE
US18452B2097,CLSK
CA2477541049,
US5949724083,MSTR
CA05156X8504,ACB.TO
XF000LINK010,
US36467W1099,GME
US42824C1099,HPE
DE000PAG9113,P911.DE
US79466L3024,CRM
US24703L2025,DELL
IE00B27YCN58,ISDW.L
US69608A1088,PLTR
NO0010196140,NAS.OL
IE00B5BMR087,CSSPX.MI
US0378331005,AAPL
IE00BKM4GZ66,EMIM.L
XF000SOL0012,
LU1681049018,500U.L
LU1861132840,
LU0274209237,XMED.L
IE00B1XNHC34,INRG.SW
DE000ENER6Y0,ENR.DE
IE00BYX2JD69,SUSW.L
IE00B3WJKG14,IUIT.L
LU0908500753,MEUD.PA
IE00B4ND3602,IGLN.L
LU1681045370,AEEM.PA
LU1681038672,RS2K.PA
LU1681038243,ANX.PA
FI0009013403,KNEBV.HE
IE00BTN1Y115,MDT
US92826C8394,V
US1667641005,CVX
DE0001104891,
DK0010219153,0M0A.IL
CA33583M1077,FNM.V
US30303M1027,META
IE00BM67HM91,XDW0.L
US02079K1079,GOOG
LU1778762911,SPOT
DE0005190037,BMW3.DE
DE0005557508,DTE.DE
IE00B3RBWM25,VWRD.L
IE00BM67HW99,XDPE.DE
JE00BRX98089,CVC.AS
FR001400CF13,
DE0005493092,BVB.DE
US74762E1029,PWR
DE0006599905,MRK.DE
KYG017191142,9988.HK
NO0013219535,CAVEN.OL
IE00BJ0KDQ92,XDWD.L
SE0015988019,NIBE-B.ST
IE00B4NCWG09,ISLN.L
IE00BGV5VR99,XMOV.SW
IE00BMC38736,SMH.L
IE00BYWQWR46,ESPO.L
LU1781541179,
IE00B0M62Q58,IDWR.L
LU2611732046,C001.DE
GB00BZ15CS02,ARB.L
IE00BJ5JNY98,WITS.AS
LU2089238203,
LU2300295123,LU2300295123.SG
LU0533033667,TNOW.MI
TH4403010010,8BA.F
US0231351067,AMZN
US00724F1012,ADBE
US90353T1007,UBER
US92686J1060,VKTX
XF000AMP0010,
XF000HBAR015,
KYG875721634,0700.HK
US60937P1066,MDB
US1273871087,CDNS
DE0007164600,SAP.DE
US02079K3059,GOOGLCL.SN
JE00BM9HZ112,
CA15135U1093,CVE.TO
IE00B6R51Z18,IOGP.L
US68389X1054,ORCL
CA50012K1066,KDK.V
US0311621009,AMGN
IE00BMD8KP97,EQJS.L
DE0005909006,GBF.DE
DE0007856023,ZIL2.F
JP3143600009,8001.T
IL0010958192,PERI.TA
DE000A0LD6E6,GXI.DE
LU0671493277,UEFD.DE
NO0005052605,NHY.OL
FR0010527275,WAT.PA
IE00BF16M727,CIBR.L
AU000000DRO2,DRO.AX
CA0115321089,AGI.TO
DE000SV7RR48,
US0079031078,AMD
US98980G1022,ZS
US6516391066,NEM
DE0007461006,TPE.DE
IE00BYXG2H39,BTEC.L
DE0005664809,EVT.DE
US00287Y1091,ABBV
IE00BHZRR030,FLXK.L
JP3435000009,6758.T
IE000S9YS762,LIN
DE000A0WMPJ6,AIXA.DE
CA04058Q1054,ASCU.TO
CNE1000003X6,2318.HK
DE000DTR0CK8,DTG.DE
GB00BM8Q5M07,JD.L
AT0000A0E9W5,KTN.DE
US0953061068,BLBD
DE000A0Q4R02,EXH9.DE
DE0006231004,IFX.DE
DE000HS56MR3,
DE000SAFH001,SFQ.F
DE0007100000,MBG.DE
US3364331070,FSLR
BE0974320526,UMI.BR
GB00BN7SWP63,GSK.L
DE000ENAG999,EOAN.DE
LU0476289466,XMES.L
DE000A0LR936,ST5.DE
ES0113900J37,SAN.MC
IE00BHZRQZ17,IE00BHZRQZ17.SG
FR0010208488,ENGI.PA
US65339F1012,NEE
IE00B43HR379,IUHC.L
US6821891057,ON
GB00B0WMWD03,QQ.L
IT0000072618,ISP.MI
FR0000131104,BNP.PA
US38267D1090,GSHD
US3434121022,FLR
FR0000121014,MC.PA
DE0007314007,HDD.DE
DE000SHL1006,SHL.DE
FR0000121972,SU.PA
FI4000074984,VALMT.HE
US0126531013,ALB
CA8536061010,SLI.V
DE000TUAG505,TUI1.DE
KYG9829N1025,0968.HK
DE0008019001,PBB.BE
US91913Y1001,VLO
US6745991058,OXY
US1258961002,CMS
US72919P2020,PLUG
US4227041062,HL
IE00BSKRJZ44,IDTL.L
XF000ADA0018,
US86745K1043,NOVA
US00165C3025,AMC
US8676524064,SPWRQ
CA0272592092,LI.V
US19260Q1076,COIN
DE000A1ML7J1,VNA.DE
US49177J1025,KVUE
CA28474P2017,18P0.DU
US8006771062,SGMO
US06777U1016,
KYG5635P1090,0960.HK
US7223041028,PDDN.MX
DE000SY0GWX2,
DE000HS6EP03,
DE000HS5L099,
DE000SU93WK3,
DE000HS54SN4,
CA4509131088,IMG.TO
DE0008402215,HNR1.DE
DE0007568578,F3C.DE
DE000HS5SVP5,
DE000VM6G9L1,
DE000EVNK013,EVK.DE
DE0006083405,HBH.F
US6541061031,NKE
US4592001014,IBM
GB00BP6MXD84,SHEL.L
US30231G1022,XOM
US86800U1043,
US17275R1023,CSCO
US2546871060,DIS
US0090661010,ABNB
DE0008303504,TEG.DE
IE00B94QLN63,2PAL.L
IE0031442068,IDUS.L
US57636Q1040,MA
US61174X1090,MNST
IE00B3YCGJ38,SPXS.L
US26856L1035,ELF
DE000ZAL1111,ZAL.DE
DE0007037129,RWE.DE
US0567521085,BIDUN.MX
BMG9456A1009,GLNG
DE000RENK730,R3NK.BE
DE000BAY0017,BAYN.DE
IE00B53L3W79,
NL0010273215,ASML.AS
US2935941078,ENVX
DE0002635307,EXSA.DE
IE00BF4RFH31,WSML.L
LU0274208692,DBXW.DE
DE000CL5XKT2,
US50202M1027,LI
DE000HS66XU3,
DE000SW5WWA8,
US5801351017,MCD
NL0000009165,HEIA.AS
US1912161007,KO
CA0585861085,BLDP.TO
DE0005093108,AAD.DE
US7134481081,PEP
US7427181091,PG
US7960508882,SMSN.IL
DE000NCA0001,NCH2.F
US58733R1023,MELI
DE000A0SMU87,DE000A0SMU87.SG
DE000A0D6554,NDX1.DE
SE0014960373,SWEC-B.ST
US0846707026,BRK-B
IE00BYZK4883,DGIT.L
US56035L1044,MAIN
US6700024010,NVAX
US67577C1053,OCGN
DE000DWS1007,DWS.DE
US00123Q1040,AGNC
US92343V1044,VZ
US7181721090,PM
US02209S1033,MO
US25179M1036,DVN
DE0008430026,MUV2.DE
IE00B6YX5D40,UDVD.L
NO0011082075,HAUTO.OL
US01741R1023,ATI
US81762P1021,NOW
DE0005933931,DAXXF
DE0008232125,LHA.DE
IE00BZCQB185,NDIA.L
IE000YYE6WK5,DFEN.DE
IE00BM67HK77,XDWH.L
LU0274211480,DBXD.DE
US3695501086,GD
IE00BTJRMP35,XMME.L
IE00BFY0GT14,SWRD.L
IE000OJ5TQP4,ASWC.DE
DE000HLAG475,HLAG.DE
DE0006289390,EXI3.DE
US87612E1064,TGT
IE00B53SZB19,CSNDX.SW
DE0006452907,NEM.DE
LU0380865021,
DE000HAG0005,HAG.DE
DE0005313704,AFX.DE
DK0062498333,NOVO-B.CO
DE0005933923,EXS3.DE
DK0061539921,VWS.CO
DE0007500001,TKA.DE
DE0005933972,EXS2.DE
US09075V1026,22UA.DU
DK0015998017,BAVA.CO
DE000STRA555,SBS.F
DE0005470405,LXS.DE
DE000A1MMCC8,ILM1.F
NL0015436031,CVAC
DE000A2E4K43,DHER.DE
DE0006632003,
US74340W1036,PLD
DE000PAH0038,PAH3.DE
US09247X1019,
SG1L01001701,D05.SI
US70432V1026,PAYC
IE00B4MCHD36,IUCD.L
HK0992009065,0992.HK
GB00B10RZP78,ULVR.L
IE000KCS7J59,HEMA.L
DE0005190003,BMW.DE
DE0007664039,VOW3.DE
DE0005706535,EUK3.F
DE000A30WFV1,DE000A30WFV1.SG
FR0011962398,
IE00BGHQ0G80,XMAW.MI
SE0010048884,FAG.ST
JP3497400006,6383.T
DE0006047004,HEI.DE
JP3351100007,6869.T
FR0000120966,BB.PA
FR0000125007,SGO.PA
DE0005773303,FRA.DE
DE000A0STSQ8,M12.DE
LU2009202107,EMXC.L
IE00BFMXXD54,VUAA.L
AU0000066086,AU0000066086.SG
US11135F1012,AVGO
US09857L1089,BKNG
US8825081040,TXN
US4581401001,INTC
US0258161092,AXP
AT00000VIE62,FLU.VI
GB0002875804,BATS.L
US7672041008,RIO
US4781601046,JNJ
US4270965084,HTGC
IE00B3YLTY66,SPYI.DE
IE0009HF1MK9,IE0009HF1MK9.SG
IE00B5SSQT16,HMEM.L
IE0006WW1TQ4,IE0006WW1TQ4.SG
IE00BMVB5R75,IE00BMVB5R75.SG
IE000FSN19U2,IE000FSN19U2.SG
IE00B6YX5H87,SPPS.DE
NL0009690239,TRET.AS
IE00B6YX5C33,SPY5.L
KYG6145U1094,0425.HK
US81617J3014,WTTR
FR001400N2P2,ALSPW.PA
US89853L3024,TTOO
US00206R1023,T
DE000BASF111,BAS.DE
US09075P1057,
DE000BEAU7Y1,DOU.DE
NL0012969182,ADYEN.AS
LU1900066033,CHIP.SW
FR0013380607,CACC.PA
US7561091049,O
CA65345P1018,NEXU.CN
DE000LEG1110,LEG.DE
US9311421039,WMT
US47010C7065,
DE0006048432,HEN3.DE
DE000KBX1006,KBX.DE
DE0005552004,DHL.DE
DE0005810055,DB1.DE
DE0007165631,SRT3.DE
DE0007231334,SIX3.DE
DE0006969603,PUM.DE
NL0000235190,AIR.PA
DE000A3ENQ51,1SXP.DE
US98422D1054,XPEV
IE00B1TXK627,DH2O.L
DE0007236101,SIE.DE
IE00BK5BR626,VHYA.L
IE00BMDKNW35,IE00BMDKNW35.SG
IT0005534141,IT0005534141.SG
BMG0957L1090,0371.HK
US29270J1007,ERII
IE00BYWZ0333,RBOD.L
IE00BGL86Z12,ECAR.L
US5951121038,MU
XF000XLM0017,
XF000EOS0011,
XF000BCH0011,
XF000LTC0015,
IE00B9CQXS71,GLDV.L
LU1681039480,EPRE.PA
DE000UK3B7V8,
DE000UM2N2R0,
DE000SU4GDJ7,
DE000SU4FW57,
DE000UM4DTC1,
DE000UM40YU2,
DE000UL9VEU7,
DE000VD0D8V0,
DE000SN3K9E7,
DE000UM2ZU76,
DE000VM5N7F9,
IE00BX7RRJ27,
IE00BL25JL35,
DE000SU5UJZ8,
DE000UL99H48,
DE000UM5MU94,
DE000HS6TD26,
US0394831020,ADM
DE0005565204,DUE.DE
DE0005493365,HYQ.F
IE00BG0J4C88,LOCK.L
US6974351057,PANW
US6701002056,NVO
IE00B4X9L533,HMWD.L
IE00B1YZSC51,IMEU.AS
US6092071058,MDLZ
IE00B8GKDB10,VHYD.L
DE000SQ33FJ4,
US4370761029,HD
US46625H1005,JPM
US94106L1098,WM
DE000SU7TDA2,
DE000SN84GJ2,
US65342K1051,NEXT
US92537N1081,VRT
US55354G1004,MSCI
CA12510R1082,CA12510R1082.SG
KYG6683N1034,NU
DE000SU6LK44,
DE000SD42EU3,
DE000SU7TD51,
US62526P4063,
DE000SU1H6C9,
DE000SQ06168,
DE000SN2AFJ8,
DE000SU1C2T7,
DE000SW3ZPX2,
DE000SV7RSY3,
DE000SY1WKK9,
FR0010315770,WLD.PA
XS0213101073,
JP3756600007,7974.T
IE00B1FZS350,IWDP.SW
IE00B0M63284,IPRP.AS
IE00B4K48X80,IMAE.AS
IE00BYTBXV33,RYA.IR
NO0010904923,HPUR.OL
US08862E1091,BYND
JE00BS44BN30,BIRK
IE00BK1PV551,XDWL.L
DE000HS5EJX4,
DE000HS5K9Z2,
DE000UM3PZW2,
DE000HG8URJ0,
DE000UM2XGP2,
DE000HS5Y9D3,
DE000UM4B894,
DE000HS5VUL0,
DE000SW5Q248,
DE000SW50867,
DE000SW50QW6,
DE000UL4Y9Y8,
DE000HG9QDM0,
DE000HS60VP0,
DE000UL9KRP2,
DE000HS5ZUT4,
DE000HS60VN5,
DE000HS61NR1,
DE000HS602E7,
DE000SW52012,
DE000UM3QD93,
DE000VD2FVL7,
DE000SW55BB1,
DE000UM4E6E8,
DE000HS5FPP4,
DE000SW5U5D4,
DE000SW6B3H2,
DE000HS67P20,
DE000HS67P38,
DE000HS65L18,
DE000HS68U89,
DE000HS64TW2,
DE000HS6A0Q1,
DE000HS6A1K2,
DE000SU899G7,
DE000HS6BRQ5,
DE000HS6C9Q0,
DE000HS5U4N7,
DE000UM290U6,
DE000HS6D5A1,
DE000UM1UXC3,
DE000SW6DN47,
DE000HS660Q9,
DE000SW9K0P7,
DE000SW59VP1,
DE000HS6GVW4,
DE000SW6M7V1,
DE000SU8TD68,
DE000HS6HN51,
DE000SU8R9T8,
DE000UK3Y973,
DE000SW9K029,
DE000SW6QHC5,
DE000SW9BDC0,
DE000SW83C67,
DE000UM39ZN6,
DE000SW6SR61,
DE000HS6QSE7,
DE000VM9DYZ0,
DE000HS6QSH0,
DE000HS6RX81,
DE000HS6QW34,
DE000HS6QW59,
DE000HS6QW00,
DE000HS6NPR2,
DE000HS6NPS0,
DE000HS6HHK6,
DE000HS6TUY5,
DE000HS6V971,
DE000SQ33FT3,
DE000SW34069,
DE000HS6TV24,
DE000HS6TV08,
DE000HS6Y2B1,
DE000HS6Y2C9,
DE000SW2NWA4,
DE000HS6Z4J9,
DE000HS6Y2D7,
DE000HS6KA85,
DE000SQ0PN09,
DE000HS730S6,
DE000SY3EXJ8,
DE000SW1CSS9,
DE000HS730V0,
DE000HS74LA4,
DE000HS729J7,
DE000HS6JDK1,
DE000UM4YEW7,
DE000HS5U744,
DE000HS77ZQ3,
DE000HS77YF9,
DE000SQ71BW6,
DE000SV7YXC5,
DE000HS77754,
DE000HS7CQX9,
DE000SW8VSJ3,
DE000HS7CR02,
DE000HS7BML5,
DE000SU1H2L9,
DE000HS7CQY7,
DE000HS7FD88,
DE000HS7H3C7,
DE000SY3H380,
DE000SN84GE3,
DE000HS7DSW5,
DE000HS7LST4,
DE000HS5U6N2,
DE000HS7N877,
DE000HS7KPF1,
DE000HS7P4D3,
NO0010081235,NEL.OL
LU2059756754,MSDU.L
IE000Y77LGG9,IE000Y77LGG9.SG
IE00BDZZTM54,SUWS.L
IE00BFNM3K80,SDWD.L
IE00BHZPJ676,EEUD.L
IE00BFNM3P36,AYEM.DE
LU1829220133,ACWL.L
IE000EFHIFG3,WELX.DE
IE00B52VJ196,IESE.AS
IE00BMTX2B82,IAEA.AS
US6494451031,
IE00BMVB5P51,IE00BMVB5P51.SG
GB00B15KXQ89,COPA.L
IE00BMWXKN31,HSTE.L
IE00BZ173V67,3SUR.DE
US83417M1045,SEDG
AT000000STR1,STR.VI
FR0000120073,AI.PA
US67421J1088,
IE00BLRPRL42,QQQ3.L
FI0009013296,NESTE.HE
DE000A0F5UG3,EXXV.DE
US8636671013,SYK
US01609W1027,BABA
IE00BQT3WG13,CNYAN.MX
IE00BWBXM492,SXLE.L
IE00BD3V0B10,BNKS.L
IE000WA6L436,IE000WA6L436.SG
IE000GUOATN7,IB25.DE
IE0008UEVOE0,IVOA.DE
XS1425274484,
IE000ZOI8OK5,IB27.DE
DE000HS62A06,
XS2002496409,
IE00BYVQ9F29,NQSE.DE
LU0950674332,
DE000A2YN900,TMV.DE
US91912E1055,VALE
FR0010755611,CL2.PA
US1729081059,CTAS
BE0003470755,SOLB.BR
US45867G1013,IDCC
DE0005759807,IXX.DE
CA00135V1094,AIVC.V
CA92539Q1090,VERS.NE
US08975B1098,BBAI
FR0004056851,VLA.PA
DE000SQ4SUR5,
IE00BP3QZ601,IWQU.L
AU000000DEG6,DGD.F
DE000A3E5A59,SBX.BE
CA22906X2059,CRYBF
US4627261005,IRBT
GB0003718474,GAW.L
US8336351056,SQM
FR0013204336,
JE00B588CD74,JE00B588CD74.SG
IE000M7V94E1,NUCL.L
JE00B6XL6W59,ENIK.MI
CA88908C1014,XBOT.V
US0970231058,BA
FR0000187635,
FR0010371401,
XS2802892054,XS2802892054.TI
XS2625968776,XS2625968776.TI
IE00BZ02LR44,XZW0.L
IE00BYVJRP78,SUSM.L
BRPETRACNOR9,PETR3.SA
CA69946Q1046,PXT.TO
SG2E67980267,P8Z.SI
DE0005229504,BIJ.DE
IE00B0M63516,IBZL.SW
US4062161017,HAL
US9746371007,WGO
NL0012817175,ALFEN.AS
US88339J1051,TTD
US7005171050,PK
CA38045Y1025,GGD.TO
SE0007691613,DOM.ST
NO0010096985,EQNR.OL
US4180561072,HAS
BMG6331P1041,AOSL
FR0000120693,RI.PA
AU000000EVN4,EVN.AX
FR0013088606,ALDRV.PA
US9168961038,UEC
LU0252633754,LYY7.DE
US8740541094,TTWO
DE000HS5Q817,
DE000HS58EF1,
DE000HS58EM7,
DE000HS5Q8G8,
DE000HS5Q8N4,
LU0501835309,
DE000HS4U2P7,
US9113121068,UPS
DE000HS4XWM3,
DE000HS3PTY2,
JP3778630008,7832.T
US8552441094,SBUX
IE00B6X4BP29,3GOS.L
US87918A1051,TDOC
XF000FET0011,
PA1436583006,CCL
IL0011334468,CYBR
LU0292103222,DXSE.DE
US7170811035,PFE
DE000A0Q4R69,EXIA.DE
CNE100000TW9,0956.HK
US3825501014,GT
CA7847301032,SSRM.TO
US59516C1062,MVST
CA4972521062,ALDVF
US6541101050,
IE000CM02H85,IE000CM02H85.SG
US78413P1012,SMHI
DE000SY3GHS7,
DE000SN8BAP1,
DE000HG0J668,
DE000UK0QX21,
DE000SW6T8X8,
DE000SW6S1F1,
US8835561023,TMO
XF000AVAX016,
US5657881067,MARA
IE00BDBRDM35,0GGH.L
FR0000121709,SK.PA
US22788C1053,CRWD
US23804L1035,DDOG
US4278661081,HSY
US2172041061,CPRT
US1999081045,FIX
US91324P1021,UNH
CNE1000031C1,690D.DE
